Copernican ideology.,কোপারনিকান মূলনীতি
Problems and other important matters,সমস্যা ও বিভিন্ন গুরুত্বপূর্ণ বিষয়
This are solution less problems of Physical Science.,এগুলোকে পদার্থবিজ্ঞানের সমাধানহীন সমস্যা হিসেবে চিহ্নিত।
"If the universe expanded equally after Plank's epoch, the temperature of these regions would not have been equal.",মহাবিশ্ব যদি প্লাংক ইপকের পর থেকে একইভাবে সম্প্রসারিত হতে থাকত তবে এই অঞ্চলগুলোতে তাপমাত্রা সমান থাকতে পারতো না।
It is thought that when the universe was young and was very hot it maintained statistical equilibrium that is in it the number of baryons was just equal to that of anti baryons.,ধারণা করা হয় মহাবিশ্ব যখন নবীন এবং প্রচণ্ড উত্তপ্ত ছিল তখন এটি পরিসাংখ্যিক সাম্যাবস্থা বজায় রাখছিল অর্থাৎ এতে বেরিয়ন এবং প্রতি বেরিয়নের পরিমাণ সমান ছিল।
"Many see such isolation of child characters from supporting adults as necessary preparation for the transition to adulthood. The school story became a common device for this, beginning with Tom Brown's Schooldays",১৯৯০-এর দশকে বর্তুলাকার স্তবকের যে পর্যবেক্ষণ করা হয় তা মহা বিস্ফোরণ তত্ত্বের সাথে সামঞ্জস্যপূর্ণ হয়নি।
"That means, it is more powerful compared to particular objects.",অর্থাৎ নির্দিষ্ট পদার্থের তুলনায় শক্তি অনেক বেশি।
To identify the dark matters is almost impossible.,অদৃশ্য বস্তু চিহ্নিত করা প্রায় দুঃসাধ্য।
"Bengali marriages are a mixture of pure custom,  tradition and religious beliefs",এই ত্বরণ ব্যাখ্যার জন্য সাধারণ আপেক্ষিকতা তত্ত্বে এমন একটি মহাবিশ্বের ধারণা গ্রহণ করা প্রয়োজন যাতে ঋণাত্মক চাপবিশিষ্ট বিপুল সংখ্যক শক্তি উপাদান থাকা প্রয়োজন।
Then it will begin to be more dense and hot and at some point will reach the initial stage when the great contraction started.,তখন এটি আবার ঘন ও উত্তপ্ত হতে থাকবে এবং একসময় সেই আদি অবস্থায় পৌঁছুবে যে অবস্থায় মহা সংকোচন শুরু হয়েছিলো।
In the Lambda-CDM model of the universe invisible power is shown as a cosmic constant.,মহাবিশ্বের ল্যাম্ব্‌ডা-সিডিএম নকশায় অদৃশ্য শক্তিকে একটি মহাজাগতিক ধ্রুবক হিসেবে দেখানো হয়েছে।
there might be lots of things outside the world picture that has been portrayed from the various theories.,তত্ত্বের সাহায্য উপস্থাপিত মহাবিশ্বের চিত্রের বাইরে আরও কিছু থাকতে পারে।
Many among these often get mixed up with one another.,এগুলোর মধ্যে অনেকগুলো মাঝেমধ্যে একটির সাথে অন্যটি মিলে যায়।
The maker Scientist Hugh Ross thinks that the Big Bang Theory gives support to the theory of Nihilo.,সৃষ্টিবাদী বিজ্ঞানী Hugh Ross মনে করেন মহা বিস্ফোরণ তত্ত্ব সৃষ্টি সম্পর্কে এক্স নিহিলো মতবাদকে সমর্থন ধার দেয়।
The modern thinkers of the religion of Islam are in the opinion that the the proposition of Quran is just similar to the theory of Big Bang and a scientific explanation can also be found in Quran.,আধুনিক ইসলামী চিন্তাবিদরা বলেন কুরআনের ধারণা মহা বিস্ফোরণ তত্ত্বের সাথে সম্পূর্ণ সামঞ্জস্যপূর্ণ এবং কুরআনে এ বিষয়ে অনেকটাই বৈজ্ঞানিক দৃষ্টিভঙ্গির পরিচয় পাওয়া যায়।
"According to this philosophy you cannot disagree Universe, though the logic has been accepted.",এই তত্ত্ব থেকে অবশ্য মহা বিস্ফোরণোর বিরোধিতা করা যায় না বরং তা সমর্থন করা যেতে পারে।
At present efforts of measuring the Copernican ideology is on.,বর্তমানে কোপারনিকান মূলনীতি পরিমাপের চেষ্টা চলছে।
initially it is not asked that what are you doing because you are new and when you are new you are under cntrol,যখন বস্তুসমূহের দূরত্বের সাথে এদের প্রাস্থানিক বেগের একটি লেখ অংকন করা হয় তখন একটি সরলরেখা পাওয়া যায় যা হাবলের নীতি নামে পরিচিত।
"In the parts of this stability, the place-time have expanded in such a manner that any residual curvature related to it would have ended quite nicely and formed the plain.",স্ফীতিশীলতার পর্যায়ে স্থান-কাল এতোটা অধিক হারে সম্প্রসারিত হয়েছিলো যে এর সাথে সংশ্লিষ্ট যেকোন অবশেষ বক্রতা (residual curvature) বেশ ভালোভাবেই নিঃশেষিত হয়ে সমতলের সৃষ্টি হয়।
Religion and Philosophy,ধর্ম এবং দর্শন
"Here, the vector (a,b) is indicating the complex number a+ib.",এখানে (ab) ভেক্টরটি জটিল সংখ্যা a+ib কে নির্দেশ করছে
"For example, we can get negative real numbers from squaring of some complex(imaginary) numbers.",যেমন কিছু জটিল (কাল্পনিক) সংখ্যাকে বর্গ করে ঋণাত্বক বাস্তব সংখ্যা পাওয়া সম্ভব।
in some cases it can be identified from the name also that there are use  of complex number in the internal mathematical construction.,কিছু কিছু ক্ষেত্রে নাম থেকেও বোঝা যায় যে সেখানে এগুলিতে অন্তর্নিহিত গাণিতিক সংগঠন হিসেবে জটিল সংখ্যার ব্যবহার রয়েছে।
"That is, the real part a can be thought of.",অর্থাৎ বাস্তব সংখ্যা a কে হিসেবে ভাবা যেতে পারে।
"In other words, two complex numbers and will be equal to each other if and only if and happens.",অন্যভাবে বললে দুইটি জটিল সংখ্যা এবং পরস্পরের সমান হবে যদি এবং কেবল যদি এবং হয়।
"Therefore, it is clear to us that every point of the number line is infact included with the complex plane.",অতএব দেখা যাচ্ছে সংখ্যা রেখার প্রতিটি বিন্দুই আসলে জটিল সমতলের অন্তর্ভুক্ত।
Or these operation is not done successfully.,অর্থাৎ অপারেশনগুলো কে কোন ভাবে প্রতিপাদন করা হয়নি।
which is the known form of our complex number,যা আমাদের পরিচিত জটিল সংখ্যার আকার!
Division:,ভাগ:
There are real numbers and rational numbers among the other fields.,অন্যান্য ফিল্ডের মধ্যে আছে বাস্তব সংখ্যা এবং মূলদ সংখ্যাগুলি।
"Modulus, distance",পরম মান অনুবন্ধী এবং দূরত্ব
If and only if z is real.,যদি এবং কেবল যদি z বাস্তব হয়
"For example, the geometric problem of forming an equal 17 sided polygon can be expressed through an algebraic equation x17=1.",যেমন একটা একটা সম ১৭-ভুজ তৈরির জ্যামিতিক সমস্যা কে অ্যালজেব্রিক্যালি x17 = 1 এই সমীকরণের সাহায্যে বিশ্লেষণ করা সম্ভব।
"To get the unique representation some times the value of φ is confined into (-n,n) that is, -n < φ less than equal to n interval.",ইউনিক রিপ্রেজেন্টেশন পাওয়ার জন্য φ এর ভ্যালুকে অনেক সময় (-ππ] অর্থাৎ. −π  φ ≤ π. ইন্টারভেলে আবদ্ধ করা হয়।
Notation in Polar Form,পোলার ফর্মের নোটেশন
"from the calculation of a complete number we can get,",পূর্ণ সংখ্যার ঘাতের জন্য দ্য ময়ভারের সূত্র অনুসারে আমরা পাই
With this usual real number of r is denoted by positive integer of n.,যেখানে দ্বারা বাস্তব সংখ্যা r এর প্রচলিত n-তম ধনাত্মক মূল কে বোঝানো হয়।
This is our familiar imaginary unit which relegates theory of mathematics to concern itself with set of complex numbers from that of real numbers.,এই হল আমাদের পরিচিত কাল্পনিক একক যার সাহায্যে গণিতের থিওরী সমুহ বাস্তব সংখ্যার সেট থেকে জটিল সংখ্যার সেটে উন্নীত হয়।
"For example, a person has travelled 1½ km distance.",যেমন হয়তো একজন লোক ১ ১/২ কিমি. দূরত্ব অতিক্রম করেছে।
the other accent of modern languages are not written except highly kentoz which is used as UN traditional,তাহলে জটিল সংখ্যা কি?
"Where mathematical equation refers different real world incident, measurement etc.",যেখানে গাণিতিক সমীকরন বা রাশি গুলো আমাদের বাস্তব জগৎ এর বিভিন্য ঘটনা পরিমাপ এবং রাশিমালা নির্দেশ করে।
"That is, complex numbers are not un-real.",অর্থাৎ জটিল সংখ্যা অবাস্তব সংখ্যা নয়।
Addition.,প্রয়োগ
"For example, it is especially important in root locus system whether all the poles and the zeroes in a complex plane are located on the left half plane or right half plane (i.e. whether real part of the root is greater than or smaller than zero).",যেমন রুট লোকাস পদ্ধতিতে পোল এবং জিরো সমুহ জটিল সমতলের বাম অর্ধতল নাকি ডান অর্ধতলে অবস্থিত তা বিশেষ ভাবে গুরুত্বপূর্ণ( অর্থাৎ রুট এর বাস্তব অংশ শুন্য অপেক্ষা বড় নাকি ছোট)।
Amplitude and with argument phase is represented.,দ্বারা বিস্তার এবং আর্গুমেন্ট arg(z) দ্বারা ফেজ বা দশা নির্দেশিত হয়।
"This process , by expanding, can be used in Digital Signal Processing and Digital Image Processing.",এই পদ্ধতিকে সম্প্রসারিত করে ডিজিটাল সিগন্যাল প্রসেসিং এবং ডিজিটাল ইমেজ প্রসেসিং এ প্রয়োগ করা হয়।
Respect to,আপেক্ষিকতা
Footnotes,পাদটীকা
Associative rule,Associative rule (আসৌশেটিভ্‌ রুল্‌ মার্কিনী উচ্চারণ আসৌশিয়েইটিভ্‌ রুল্‌) - সহযোগী বিধি
Algebraic number,Algerbraic number (অ্যাল্‌জিব্‌রেইক্‌ নাম্‌বার্‌) - বীজগাণিতিক সংখ্যা
"From 1526 AD till 18th Century AD, this area was the part of the Mughal Empire.",১৫২৬ থেকে ১৮শ শতক পর্যন্ত এলাকাটি মুঘল সাম্রাজ্যের অংশ ছিল।
K-Kashmir,ক - কাশ্মীর
Culture,সংস্কৃতি
Activities,কার্যক্রম
Wikimania,উইকিম্যানিয়া
Open source means free distribution of computer software source code.,মুক্ত সোর্স বা ওপেন সোর্স (Open Source) এর অর্থ হলো কম্পিউটার সফটওয়্যার এর সোর্স কোড বা মূল সাংকেতিক ভাষাকে মুক্ত ভাবে বিতরণ করা।
There is a misconception that the open source softwares are produced by the volunteers.,এরকম একটা ভুল ধারণা আছে যে ওপেন-সোর্স সফটওয়্যার তৈরি করে শুধুমাত্র স্বেচ্ছাসেবীরা।
"At the beginning France,Poland and United States was in same side.",মিত্রপক্ষে প্রথমদিকে ছিল যুক্তরাজ্য ফ্রান্স এবং পোল্যান্ড।
"In year 1945 Jarman and Japan both are agreed to loose the war without any condition, thus World War-2 ended.",১৯৪৫ সালে জার্মানি এবং জাপান উভয় দেশের নিঃশর্ত আত্মসমর্পনের মধ্য দিয়েই দ্বিতীয় বিশ্বযুদ্ধের সমাপ্তি ঘটে।
Among these the most dangerous was the atomic bomb.,এর মধ্যে সবচেয়ে ভয়াবহ প্রয়োগ ছিল পারমানবিক বোমা।
But there is a common consideration on this which is mostly acceptable.,তবে এ নিয়ে একটি সাধারণ ধারণা রয়েছে যা অনেকাংশে গ্রহনযোগ্য।
"The war of Kobrin (17th September, 1939)--The march of the Second Motorized Division of Germany in the map and the retreat of Poland, the Second World War started with the attack of the Nazis on Poland.",কোবরিনের যুদ্ধ (সেপ্টেম্বর ১৭১৯৩৯)-মানচিত্রে জার্মান দ্বিতীয় মোটোরাইজড ডিভিশনের অগ্রযাত্রা এবং পোলিশ বাহিনীর পিছু হটা নাৎসি বাহিনীর পোল্যান্ড আক্রমণএর মধ্য দিয়ে দ্বিতীয় বিশ্বযুদ্ধ শুরু হয়।
Warsaw ended on 27th September.,ওয়ারস পতন হলো ২৭শে সেপ্টেম্বর ।
After 15 days they were able to make an opportunity.,১৫ দিন পর অবশেষে তারা একটি ফাঁক তৈরি করতে পারল ।
At first Hitler took the decision of keeping Norway impartial.,প্রথমে হিটলার নরওয়েকে নিরপেক্ষ থাকতে দেবার সিদ্ধান্ত নিয়েছিল ।
"German troops engaged in a bitter fight at the Battle of Narvik, holding out against five times as many opponents until May 27.",নারভিকে জার্মানরা পাঁচগুণ বেশী শত্রুর সাথে লড়াই চালিযে যাচ্ছিল ২৭শে মে পর্যন্ত ।
German soldier came out and start moving fast after theydistract the bewildered soldiers of misor soldiers on 14thmay.,১৪ই মে আরদেন থেকে জার্মান বাহিনী বেরিয়ে এসে দিশেহারা মিত্র সেনাদের ছিন্নবিছিন্ন করে প্রবল বেগে এগোতে থাকল।
"On the 22nd June, German-France and on the 24th June German-Italy peace treaties were signed.",২২শে জুন জার্মান-ফরাসি এবং ২৪শে জুন জার্মান-ইতালীয় শান্তিচুক্তি স্বাক্ষরিত হয় ।
In this due to misunderstanding frustrated Mussolini on 28th October 1940 attacked Greece from Albania.,এতে কুটনৈতিক ভুল বোঝাবুঝির কারণে বিরক্ত মুসোলিনি ২৮শে অক্টবর ১৯৪০ আলবেনিয়া থেকে গ্রিস আক্রমণ করলেন।
"In the same day of 6th April, Germany attacked Greece and Yugoslavia by bombarding from the air and by sending armies through Bulgaria and Austria.",৬ই এপ্রিল একই দিনে আকাশ থেকে বোমাবর্ষণ এবং বুলগেরিয়া ও অস্ট্রিয়া দিয়ে সৈন্য পাঠিয়ে জার্মানী গ্রিস ও যুগোস্লাভিয়া আক্রমণ করল ।
"As per the theory of the Big Bang, the universe was created from a highly dense drop.",মহা বিস্ফোরণ তত্ত্ব অনুসারে মহাবিশ্ব একটি অতি ঘন বিন্দুবৎ অবস্থা থেকে উৎপত্তি লাভ করেছে।
The explanation about the structure of the ancientest objects of the universe can be derived through this for which the Alpher-Bethe-Gamow theory was propounded just after the theory of Big Bang.,এর মাধ্যমেই মহাবিশ্বের প্রাচীনতম বস্তুসমূহের গঠন সম্পর্কে ব্যাখ্যা পাওয়া যায় যার জন্য মহা বিস্ফোরণ মতবাদের পরই আলফার-বেটে-গ্যামফ তত্ত্ব প্রণীত হয়েছে।
himaliya also is between two borders,আইনস্টাইন সাধারণ আপেক্ষিকতার জন্য এই ক্ষেত্র সমীকরণগুলোর গোড়াপত্তন করেছিলেন।
There are two different possibilities.,দুইটি স্বতন্ত্র সম্ভাবনা রয়েছে।
"APART FROM THESE TWO SKETCHES OF """"HOWEL"""" AND """"LAYMETRER"""", SEVERAL MORE SKETCHES WERE PRESENTED OF THE UNIVERSE.",হয়েল এবং ল্যমেত্র্‌ কর্তৃক প্রস্তাবিত এই দুটি নকশা ছাড়াও মহাবিশ্বের উৎপত্তি নিয়ে বেশ কিছু নকশা প্রস্তাব করা হয়।
"Presently people have powerful telescope like Kobe, Hubble space telescope and WMAP.",বর্তমানে মানুষের রয়েছে কোবে হাবল স্পেস টেলিস্কোপ এবং ডব্লিউম্যাপ র মত উচ্চ ক্ষমতার দুরবিন।
Laws of physics became applicable after 10-43 seconds of formation of the universe.,মহাবিশ্ব সৃষ্টির ১০−৪৩ সেকেন্ড পর পদার্থবিজ্ঞানের সূত্রগুলো কার্যকারিতা লাভ করে।
"That is, there occurs a small excess of quarks and leptons over anti-quarks and anti-leptons.",অর্থাৎ প্রতি-কোয়ার্ক এবং প্রতি-লেপ্টনের চেয়ে কোয়ার্ক এবং লেপ্টনের পরিমাণ সামান্য বৃদ্ধি পায়।
Simultaneously annihilation of mass starts within the remaining proton and anti-proton.,এরই সাথে অবশিষ্ট প্রোটন এবং প্রতিপ্রোটনের মধ্যে শুরু হয় ভরের পূর্ণবিলয় (annihilation)।
"Almost 380, 000 years after the Big Bang, the electron and the nucleus united to form atoms; among these mainly hydrogen atoms were formed.",মহা বিস্ফোরণের প্রায় ৩৮০০০০ বছর পর ইলেকট্রন এবং নিউক্লিয়াস একত্রিত হয়ে পরমাণু তৈরি করে; এর মধ্যে মূলত হাইড্রোজেন পরমাণু সৃষ্টি হয়।
from the satellite wmp some evidences show that the amount of invisible cold substances is maximum about 80%,ডব্লিউএমএপি নামক কৃত্রিম উপগ্রহ থেকে পাওয়া সবচেয়ে নির্ভরযোগ্য তথ্যের ভিত্তিতে জানা গেছে যে মহাবিশ্বে শীতল অদৃশ্য বস্তুর পরিমাণ সবচেয়ে বেশী প্রায় শতকরা ৮০ ভাগ।
It can be said that lots of observation and research on both theoretical and practical field of relation between equation of state of this energy and structure of conventional particle physics have still to be done.,বলতে গেলে এই শক্তির অবস্থার সমীকরণ এবং কণা পদার্থবিজ্ঞানের আদর্শ নকশার সাথে এর সম্পর্ক বিষয়ে তাত্ত্বিক ও ব্যবহারিক উভয় ক্ষেত্রে অনেক পর্যবেক্ষণ ও গবেষণা এখনও বাকি রয়ে গেছে।
"At present, compiling a modern-age theory to understand this subject is the biggest unsolved problem in physics.",এই বিষয়টি বোঝার জন্য যুগোপযোগী তত্ত্ব প্রণয়নই বর্তমানে পদার্থবিজ্ঞানের বৃহত্তম সমাধানহীন সমস্যা।
"Even if the comoving distance and the coordinate distance are same of any two points in the space, the physical distance of these comoving points increases proportionally with the scale factor of the universe.",যেকোন দুটি বিন্দুর কমোভিং দূরত্ব তথা স্থানাংক দূরত্ব একই থাকলেও এই কমোভিং বিন্দুসমূহের ভৌত দূরত্ব মহাবিশ্বের স্কেল উৎপাদকের সাথে সমানুপাতিক হারে বৃদ্ধি পায়।
So that we would never be able to see the whole part of the old universe.,অর্থাৎ আমরা অতীত মহাবিশ্বের সমগ্র অংশ কখনই দেখতে পারবোনা।
"These are: Hubble-type expansion accepted after observing the red shift of galaxies,the comprehensive measurement of the cosmic microwave background, and abundance of light elements.",এগুলো হল: ছায়াপথসমূহের লাল অপসারণ দেখে গৃহীত হাবল-ধরণের সম্প্রসারণ মহাজাগতিক ক্ষুদ্রতরঙ্গ পটভূমির বিস্তৃত পরিমাপ এবং আলোক উপাদানসমূহের প্রাচুর্য।
This observation is recognized as the basic foundation of the theory of great explosion till today.,এই পর্যবেক্ষণটিই এখন পর্যন্ত মহা বিস্ফোরণ তত্ত্বের মৌলিক ভিত্তিভূমি হিসেবে স্বীকৃত।
Nucleon and electron united and formed atom.,এই বিন্দুতে কেন্দ্রীন ও ইলেকট্রন একত্রিত হয়ে পরমাণু তৈরি করে।
This discovery stands in favor of the Big Bang hypothesis and brought Arno Penzias and Robert Wilson the Nobel Prize.,এই আবিষ্কার মহা বিস্ফোরণ মতবাদের পক্ষে একটি যুক্তেই হয়ে দাঁড়ায় এবং পেনজিয়াস ও উইলসনকে এনে দেয় নোবেল পুরস্কার।
Abundance of these elements mainly depends on the ratio of photons and baryons.,এই মৌলগুলোর প্রাচুর্য মূলত ফোটন এবং বেরিয়নের অনুপাতের উপর নির্ভর করে।
Miraculously it is seen that in the new Universe the Helium content is more than the Deuterium or Helium (3He) is smaller than the Deuterium and its always keeps its ratio constant.,আশ্চর্যজনকভাবে দেখা যায় নবীন মহাবিশ্বে ডিউটেরিয়াম অপেক্ষা হিলিয়ামের পরিমাণ বেশী অথবা হিলিয়মের (৩He) চেয়ে ডিউটেরিয়াম বেশী; এবং এরা সর্বদা ধ্রুব অনুপাত বজায় রাখে।
"Though almost most all the researchers now agree with the theory of the Big Bang, it was not like this at one time.",বর্তমানে প্রায় সকল গবেষক মহা বিস্ফোরণ তত্ত্বকে মেনে নিলেও এক সময় এমনটি ছিলনা।
"For the solution of this a independent experiment with Big Bang, and by releasing main stream of light and then studying it and study with the most new stars.",এগুলো সমাধানের জন্য প্রয়োজন মহা বিস্ফোরণ কেন্দ্রীন সংশ্লেষ বিষয়ে স্বাধীন গবেষণা মহাজাগতিক ক্ষুদ্র তরঙ্গ পটভূমি বিকিরণের মূল বিষয় নিয়ে অধ্যয়ন এবং মহাবিশ্বের বৃহৎ পরিসর গঠনে বিদ্যমান অতি নব তারা নিয়ে অধ্যয়ন।
Equation problem,সমতা সমস্যা
But now it has been proved through observation that almost whole of the observable universe is made up of matter.,কিন্তু বর্তমান পর্যবেক্ষণ প্রমাণ করেছে যে পর্যবেক্ষণযোগ্য মহাবিশ্ব প্রায়ো পুরোটাই পদার্থ দ্বারা গঠিত।
"A literary genre is a category of literary composition. Genres may be determined by technique, tone, content, or length. Nancy Anderson, associate professor in the College of Education at the University of South Florida in Tampa",মহাবিশ্বে তারার মোট সংখ্যার মধ্যে যে পরিমাণ বর্তুলাকার স্তবক রয়েছে সেগুলোর কম্পিউটার সিমুলেশনের মাধ্যমে জানা যায় তারা প্রায় ১৫ বিলিয়ন বছর পূর্বে গঠিত হয়েছে।
"After that the scientists had to accept the idea that, 90% of the universe is not normal baryonic matter but they are Dark matter.",এর পর বিজ্ঞানীরা এই ধারণা গ্রহণ করতে বাধ্য হন যে মহাবিশ্বের শতকরা প্রায় ৯০ ভাগ পদার্থই সাধারণ বেরিয়ন পদার্থ নয় বরং এরা হচ্ছে অদৃশ্য বস্তু (dark matter)।
Because the gravitational effects of these matters are not exactly understood.,কারণ এর মহাকর্ষীয় প্রভাব সঠিকভাবে বোঝা যায় না।
From this only came the thought of invisible power.,এ থেকেই এসেছে অদৃশ্য শক্তির ধারণা।
"On the other hand, if the density is equal to or less than the critical density, at some point of time the expansion will slow down but will never come to an end.",অন্যদিকে এই ঘনত্ব যদি ক্রান্তি ঘনত্বের সমান বা কম হয় তবে একসময় সম্প্রসারণ ধীর হয়ে যাবে কিন্তু কখনই শেষ হবে না।
"It is said in this theory, that only the gravitationally limited objects of the universe, such as galaxy, will stay together. However, heat death of them will happen as well due to expansion and freezing of the universe.",এই তত্ত্বে বলা হয়েছে মহাবিশ্বের কেবল মহাকর্ষীয়ভাবে সীমাবদ্ধ বস্তুগুলোই একসাথে থাকবে যেমন ছায়াপথ; অবশ্য মহাবিশ্বের প্রসারণ ও শীতলায়নের ফলে এদেরও তাপীয় মৃত্যু ঘটবে।
Form the inflation index we assume that the indexing expansion has made the whole universe has moved out from the scope of observation,স্ফীতির ক্ষেত্রে আমরা অবশ্যই ধরে নেই যে সূচকীয় সম্প্রসারণ মহাকাশের বৃহৎ অঞ্চলকে আমাদের পর্যবেক্ষণযোগ্য দিগন্তের বাইরে ঠেলে দিয়েছে।
But the basic principles of it have not yet been clearly proved.,তবে এর মূল নীতিগুলো এখন পর্যন্ত সুস্পষ্টভাবে প্রমাণিত নয়।
A result for various information regarding the Big Bang Theory is given over here:,মহা বিস্ফোরণ তত্ত্ব সম্পর্কে বিভিন্ন ধর্মের ব্যাখ্যার একটি তালিকা এখানে দেয়া হয়েছে:
The Ayat that worth mention in this regard is (Shura Ambia; 21:30):,এ বিষয়ে উল্লেখযোগ্য আয়াতটি হচ্ছে (সূরা আম্বিয়া; ২১ : ৩০):
In popular Gen Culture variation in Universe is accepted.,জনপ্রিয় জেন সংস্কৃতিতে কম্পনশীল মহাবিশ্ব তত্ত্ব সমর্থিত হয়।
This measurement is being made by observing the reaction between the galaxy clusters and super clusters and CMB.,ছায়াপথ শ্রেণী ও স্তবকগুলোর সাথে সিএমবির মিথস্ক্রিয়ার দিকে লক্ষ্য করার মাধ্যমে এই পরিমাপ করা হচ্ছে।
see more,যেখানে
And for these reason only it was said that if the stability theory is accepted then the earth must be taken as an absolute plain.,এজন্যই বলা হয় স্ফীতিশীলতা তত্ত্ব স্বীকার করে নিলে মহাবিশ্বকে প্রায় সম্পূর্ণ সমতল ধরতে হয়।
Information helping in experiment,গবেষণা সহযোগী নিবন্ধসমূহ
"In mathematics, a complex number is regarded as a mathematical extension of a real number.",গণিতে জটিল সংখ্যা (ইংরেজি ভাষায়: Complex number)-কে বাস্তব সংখ্যার একটি গাণিতিক সম্প্রসারণ হিসেবে গণ্য করা হয়।
"Complex numbers were first conceived by the Italian mathematician Gerolamo Cardano, during his attempts to find solutions to cubic equations.",ইতালীয় গণিতিবিদ জিরোলামো কার্দানো ত্রিঘাত সমীকরণ সমাধান করতে গিয়ে প্রথম জটিল সংখ্যা আবিষ্কার করেন।
"Like, Complex Analysis, Complex matrix, Complex polynomial and Complex Lie algebra.",যেমন জটিল বিশ্লেষণ জটিল মেট্রিক্স জটিল বহুপদী এবং জটিল লি বীজগণিত।
"The complex numbers of which the real part is zero are called imaginary numbers and instead of that, they are denoted only by.",যেসব জটিল সংখ্যার বাস্তব অংশ শূন্য তাদেরকে বলা হয় কাল্পনিক সংখ্যা এবং এর বদলে তাদেরকে শুধুমাত্র দ্বারা প্রকাশ করা হয়।
Operation,অপারেশন
From here it is clearly seen that.,এখান থেকে সহজেই দেখা যায় যে ।
Just it is known that.,শুধু মাত্র স্বীকার করে নেওয়া হয়েছে।
"Now we notice that,",এখন আমরা লক্ষ্য করি যে
Where either the value of c and d is not equal to zero.,যেখানে c এবং d এর অন্তত একটি শূন্য নয়।
"When every real numbers a is expressed as a+0i, R the field of real numbers constitutes a sub field of complex field C.",যখন প্রতিটি বাস্তব সংখ্যা a কে জটিল সংখ্যা a + 0i আকারে প্রকাশ করা হয় তখন বাস্তব সংখ্যার ফিল্ড R জটিল সংখ্যার ফিল্ড  C -এর একটি উপফিল্ড গঠন করে।
One complex number's modulus value can be calculated this way.,একটি জটিল সংখ্যা এর পরম মান (বা মডুলাস বা মান) হিসাব করা হয় দ্বারা।
If and only if z is only imaginary i.e. the real part of z is zero.,যদি এবং কেবল যদি z শুধু মাত্র কাল্পনিক হয় অর্থাৎ z এর বাস্তব অংশ শুন্য হয়।
Where the solutions of the equation represent the points on sides of those 17 sided polygon.,যেখানে সমীকরণের সমাধান গুলো সেই ১৭-ভুজের শীর্ষ বিন্দুগুলো কে প্রতিনিধিত্ব করে।
Then this argument is called the principal argument.,তখন এই আর্গুমেন্ট কে প্রিন্সিপাল আর্গুমেন্ট বলে।
Polar Form is generally revealed,পোলার ফর্মকে সাধারণত প্রকাশ করা হয়
"From there we can get,",যেখান থেকে পাওয়া যায়
"If C=0, then nth root will be only zero.",যদি c = 0 হয় তখন c এর n-তম মূল হয় শুধু মাত্র 0।
Introduction of ambiguity,অসচ্ছতার সূচনা
"After that, she gets introduced with negative number during learning of algebra.",এর পর বীজগণিত শেখার সময় যখন তার প্রথম পরিচয় হয় ঋণাত্বক সংখ্যার সাথে।
chinese currencies also are in majority which are written in modern language which is chinese word and han hopenion which is freom roman words tibetin which is from tibbati words yugor with arabic words mangolian traditionally with mangolian words are written,আসলে সকল সংখ্যাই কাল্পনিক!
"At the beginning of learning algebra like a student ask """" wat is the meaning of this equation?""""",আসলে বীজগণিত শেখার শুরুতে একজন শিক্ষার্থী যেমন প্রশ্ন করে  এই সমীকরণের বাস্তব অর্থ কি?
Literally,(আক্ষরিক অর্থে)
"Real"""" and """"imaginary"""" is two meaning full word when complex number is represented as only a real number.",বাস্তব এবং কাল্পনিক শব্দ দুটি অর্থবহ ছিল যখন জটিল সংখ্যাকে শুধু বাস্তব সংখ্যা সংক্রান্ত হিসাবে সাহায্যকারী ধারণা হিসাবে ব্যবহার করা হত।
"If all the poles of a system,",যদি কোন সিস্টেমের পোল সমুহ
"Where, z is the representation of Sine wave in complex number.",যেখানে z হচ্ছে সেই সাইন তরঙ্গের জটিল সংখ্যায় প্রকাশিত রূপ।
"where Fourier Analysis and wavelet analysis are used to signal transmit, compress and restore.",যেখানে সিগন্যাল ট্রান্সমিট কম্প্রেস এবং পুনরুদ্ধারে ফুরিয়ার বিশ্লেষন এবং ওয়েভলেট বিশ্লেষন ব্যবহৃত হয়।
Equation related to special relativity and general relativity become more easy when time is represented by imaginary number(there is not much use in Classical Relativity but it has more use in quantum Field Theory ).,স্পেশাল রিলেটিভিটি এবং জেনারেল রিলেটিভিটির স্পেসটাইম বা স্থানকালের মেট্রিক সংক্রান্ত কিছু সমীকরণ অনেক সরল হয়ে যায় যদি সময় কে কাল্পনিক সংখ্যার চলক হিসাবে প্রকাশ করা হয় (ক্লাসিক্যাল রিলেটিভিটিতে এধরণের ব্যবহার তেমন না থকলেও কোয়ান্টাম ফিল্ড থিওরীতে এটা অত্যাবশ্যক)।
Sources,তথ্যসূত্র
Cumulative rule,Commutative rule (কমিউটেটিভ রুল্‌) - বিনিমেয় বিধি
topological closure,Topological closure (টপোলজিক্‌ল্‌ ক্লৌঝ়ার্‌) - টপোগাণিতিক আবদ্ধতা
